"filename", "language", "PHP", "XML", "JavaScript", "CSS", "Less", "SCSS", "Batch", "Shell Script", "comment", "blank", "total"
"/var/www/html/sag/portal/select2/js/i18n/eu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/fa.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/fi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/fr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/gl.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/he.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/hi.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/hr.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/hu.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/id.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/is.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/it.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ja.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/km.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/ko.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/lt.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
"/var/www/html/sag/portal/select2/js/i18n/lv.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 3
